PFI;Feature;ModelWeights
VoyRank;-0.764106;1
MaxRarity;-0.556103;0.514805
InCollectionsCount;-0.208117;0.675363
EventsCount;-0.131925;0.485956
GauntletRank;-0.047793;0.278543
SkillsCount;-0.034581;0.374215
DaysFromDateAdded;-0.03373;0.369636
ActionAbilityAmount;-0.016929;0.178582
V_ENG_MED;-0.014708;0.249534
G_CMD_ENG;-0.014208;0.144879
V_SEC_MED;-0.009929;0.13421
V_SCI_DIP;-0.009154;0.145618
V_SCI_SEC;-0.008918;0.145864
B_CMD;-0.007894;0.111755
V_CMD_DIP;-0.007629;0.157251
ShipBattleEvasionMax;-0.007629;0.151788
V_SCI_ENG;-0.007272;0.115152
EngineeringSkillRangeMin;-0.007157;0.147887
G_SEC_DIP;-0.006602;0.182119
V_ENG_DIP;-0.006477;0.143815
IsInSeries_dsc;-0.006386;0.051722
ShipBattleAccuracyMax;-0.006144;0.147598
ActionPenaltyType;-0.00588;0.120749
TraitsCount;-0.005754;0.108823
V_CMD_SCI;-0.005702;0.129223
B_SCI;-0.005601;0.131451
SecuritySkillCore;-0.005399;0.105558
V_CMD_MED;-0.005392;0.145939
V_DIP_MED;-0.005298;0.089941
CommandSkillCore;-0.00509;0.140669
DiplomacySkillCore;-0.005067;0.134506
MedicineSkillRangeMin;-0.005066;0.128477
A_SEC;-0.004954;0.13987
G_CMD_DIP;-0.00495;0.213516
ShipBattleCritChanceMax;-0.004662;0.120436
V_SEC_DIP;-0.004617;0.124332
CommandSkillRangeMax;-0.004531;0.064684
SecuritySkillRangeMin;-0.004473;0.089245
ShipBattleCritBonusMax;-0.004225;0.122363
ActionAbilityType;-0.004182;0.11933
ActionBonusAmount;-0.004177;0.054124
G_SCI_DIP;-0.004009;0.177453
DiplomacySkillRangeMax;-0.003915;0.142161
V_SEC_ENG;-0.003847;0.135657
MedicineSkillRangeMax;-0.003638;0.098855
G_CMD_MED;-0.003637;0.116393
G_SCI_SEC;-0.003548;0.120267
V_CMD_SEC;-0.003174;0.136366
SkillsCombinationRarityPerCrewRarity;-0.003144;0.130369
ActionDuration;-0.003052;0.109681
DiplomacySkillRangeMin;-0.003036;0.069238
G_CMD_SEC;-0.003003;0.124418
G_CMD_SCI;-0.002993;0.126929
EngineeringSkillCore;-0.002755;0.117103
B_SEC;-0.002658;0.083364
CommandSkillRangeMin;-0.00237;0.053668
MedicineSkillCore;-0.002321;0.119346
SecuritySkillRangeMax;-0.002307;0.072884
V_CMD_ENG;-0.002268;0.11187
A_CMD;-0.002253;0.089251
G_SEC_MED;-0.002234;0.129747
IsInSeries_ent;-0.002;0.060265
ActionInitialCooldown;-0.001902;0.072521
A_SCI;-0.001861;0.097142
G_SCI_MED;-0.001794;0.11564
ActionPenaltyAmount;-0.001735;0.099018
G_SCI_ENG;-0.001521;0.072669
SkillsCombinationRarity;-0.001492;0.094921
ActionBonusType;-0.001378;0.09984
ActionAbilityCondition;-0.001355;0.082182
ScienceSkillCore;-0.001255;0.079132
ScienceSkillRangeMin;-0.00113;0.059333
V_SCI_MED;-0.001069;0.065778
ScienceSkillRangeMax;-0.000996;0.066699
G_SEC_ENG;-0.000936;0.063433
EngineeringSkillRangeMax;-0.000899;0.08068
ActionCooldown;-0.00089;0.056973
IsInSeries_ds9;-0.000854;0.03111
IsInSeries_tos;-0.00062;0.074822
IsInSeries_tng;-0.000544;0.058486
ActionLimit;-0.000543;0.050079
IsInSeries_voy;-0.000476;0.083482
IsInPortal;-0.000257;0.050554
IsInSeries_tas;-0.00007;0.019755
IsInSeries_pic;-0.000032;0.00894
IsInSeries_original;-0.000008;0.005737
